Customer,Quote Time,Product,Quoted Price,Market At Quote,Inventory State,Capacity State,Competitor,Outcome,Mins To Decide,Final Gallons
C009,2025-05-05 08:35:00,ULSHO,2.4604,2.4823,short,tight,competitor_matched,reject,116.5,
C013,2025-05-05 09:20:00,ULSHO,2.5784,2.4688,short,tight,none,reject,118.1,
C009,2025-05-05 09:53:00,ULSHO,2.5607,2.4823,long,open,none,reject,118.3,
C014,2025-05-05 10:29:00,RBOB,2.1455,2.1662,balanced,open,sole_supplier,accept,75.4,18290.1
C007,2025-05-05 12:54:00,ULSD,2.7634,2.6748,balanced,open,sole_supplier,accept,114.3,7007.6
C005,2025-05-05 14:32:00,ULSD,2.7185,2.6748,balanced,tight,competitor_undercut,no_response,1397.1,
C012,2025-05-05 15:23:00,ULSD,2.643,2.6498,short,open,sole_supplier,accept,115.9,8537.6
C008,2025-05-05 15:36:00,ULSD,2.7058,2.6748,balanced,open,competitor_undercut,accept,149.3,6266.6
C008,2025-05-06 07:07:00,ULSD,2.5952,2.6179,long,tight,competitor_matched,reject,158.7,
C009,2025-05-06 11:24:00,ULSHO,2.3557,2.3463,long,open,competitor_matched,accept,69.9,5206.6
C017,2025-05-06 12:44:00,RBOB,2.2326,2.1408,short,balanced,sole_supplier,reject,52.6,
C002,2025-05-07 09:52:00,ULSD,2.6105,2.6079,balanced,tight,sole_supplier,accept,84.0,5564.1
C008,2025-05-07 10:14:00,ULSD,2.6974,2.6079,long,tight,none,reject,67.1,
C008,2025-05-07 10:40:00,ULSD,2.5857,2.6079,balanced,open,sole_supplier,accept,60.4,7194.8
C009,2025-05-07 13:59:00,ULSHO,2.3649,2.3616,balanced,tight,competitor_undercut,accept,169.8,6366.9
C006,2025-05-08 09:06:00,RBOB,2.1744,2.105,balanced,open,none,reject,116.8,
C024,2025-05-08 09:11:00,ULSD,2.6824,2.5889,short,tight,none,reject,63.5,
C012,2025-05-08 10:15:00,ULSHO,2.2632,2.2765,balanced,open,competitor_undercut,accept,175.4,7034.7
C001,2025-05-08 12:37:00,ULSD,2.5736,2.5889,long,open,sole_supplier,accept,78.6,6905.2
C006,2025-05-08 13:38:00,RBOB,2.2046,2.105,short,tight,competitor_matched,reject,3.0,
C002,2025-05-08 14:57:00,ULSD,2.6319,2.6033,balanced,tight,sole_supplier,reject,134.1,
C010,2025-05-08 14:58:00,ULSHO,2.2632,2.2765,long,balanced,competitor_matched,accept,156.6,7369.4
C012,2025-05-08 16:20:00,ULSD,2.6752,2.5889,long,tight,competitor_undercut,no_response,1309.8,
C014,2025-05-09 09:03:00,RBOB,2.0671,2.0318,short,tight,competitor_undercut,reject,104.3,
C008,2025-05-09 12:13:00,ULSD,2.6617,2.5939,balanced,tight,competitor_matched,reject,103.4,
C002,2025-05-09 12:38:00,ULSD,2.6083,2.5939,balanced,tight,competitor_undercut,accept,94.3,5844.3
C010,2025-05-09 15:42:00,ULSD,2.6407,2.5969,long,open,competitor_matched,reject,40.9,
C003,2025-05-10 07:05:00,RBOB,2.0318,2.0348,short,tight,none,reject,147.8,
C024,2025-05-10 08:56:00,ULSD,2.6215,2.5249,balanced,open,competitor_undercut,reject,33.8,
C016,2025-05-10 09:14:00,ULSD,2.5508,2.5249,balanced,open,competitor_undercut,no_response,941.6,
C001,2025-05-10 09:29:00,RBOB,1.9943,2.0023,long,tight,competitor_undercut,accept,186.1,8881.5
C021,2025-05-10 10:03:00,RBOB,1.9912,2.0023,balanced,balanced,competitor_matched,accept,144.5,5355.8
C011,2025-05-10 11:21:00,ULSD,2.5956,2.5345,balanced,balanced,sole_supplier,reject,188.7,
C016,2025-05-10 13:13:00,RBOB,1.9922,2.0023,short,open,none,accept,166.4,17495.8
C010,2025-05-10 13:21:00,ULSD,2.5738,2.5249,short,tight,competitor_undercut,accept,118.4,8054.4
C013,2025-05-10 15:27:00,ULSD,2.6099,2.5249,short,open,competitor_matched,reject,97.2,
C021,2025-05-10 16:30:00,RBOB,2.0586,2.0023,balanced,open,none,reject,51.7,
C010,2025-05-11 08:30:00,ULSHO,2.3191,2.3238,short,tight,competitor_undercut,accept,190.7,6104.4
C005,2025-05-11 10:37:00,ULSD,2.4904,2.4996,short,balanced,sole_supplier,accept,127.4,7024.1
C014,2025-05-11 14:04:00,RBOB,2.0223,2.0496,balanced,balanced,competitor_matched,accept,189.3,25262.2
C002,2025-05-11 14:33:00,ULSD,2.4746,2.4996,balanced,open,none,accept,153.9,6907.1
C019,2025-05-12 09:26:00,ULSD,2.5362,2.5135,balanced,balanced,competitor_matched,reject,150.4,
C012,2025-05-12 11:22:00,ULSHO,2.2982,2.3113,short,balanced,sole_supplier,accept,129.0,7931.1
C008,2025-05-12 13:34:00,ULSD,2.6136,2.5194,short,balanced,none,reject,70.9,
C011,2025-05-12 13:44:00,ULSD,2.5162,2.5194,long,tight,sole_supplier,no_response,1439.1,
C010,2025-05-12 15:13:00,ULSD,2.6199,2.5135,long,open,none,reject,67.3,
C004,2025-05-12 15:27:00,ULSD,2.4972,2.5194,short,balanced,competitor_matched,no_response,1338.8,
C002,2025-05-13 07:03:00,ULSD,2.584,2.5363,balanced,tight,sole_supplier,no_response,1074.4,
C008,2025-05-13 07:05:00,ULSD,2.6374,2.5363,long,tight,competitor_undercut,reject,3.0,
C024,2025-05-13 09:39:00,ULSD,2.5897,2.5194,long,open,competitor_undercut,reject,137.1,
C008,2025-05-13 11:18:00,ULSD,2.6278,2.5363,short,open,competitor_matched,no_response,1980.7,
C007,2025-05-13 12:03:00,RBOB,2.1216,2.0334,balanced,open,competitor_matched,reject,74.4,
C004,2025-05-13 12:04:00,ULSD,2.6273,2.5363,short,balanced,competitor_matched,reject,132.4,
C003,2025-05-13 14:50:00,RBOB,2.0618,2.0497,short,balanced,none,accept,188.0,6770.4
C004,2025-05-14 09:13:00,RBOB,2.0166,2.0339,balanced,open,none,accept,136.5,6197.0
C003,2025-05-14 11:40:00,ULSD,2.6179,2.5788,long,tight,competitor_undercut,accept,95.6,7513.7
C011,2025-05-14 16:06:00,ULSD,2.6871,2.5771,balanced,tight,sole_supplier,reject,93.3,
C022,2025-05-14 16:12:00,RBOB,2.0259,2.0175,short,open,competitor_matched,accept,87.9,3797.7
C022,2025-05-14 16:35:00,RBOB,2.0938,2.0175,short,balanced,competitor_undercut,reject,38.1,
C007,2025-05-15 07:35:00,ULSD,2.5542,2.5801,long,balanced,competitor_matched,accept,85.1,7005.1
C004,2025-05-15 07:37:00,ULSD,2.6418,2.5801,balanced,balanced,competitor_matched,accept,66.1,5727.0
C021,2025-05-15 08:49:00,RBOB,2.0571,2.0465,balanced,balanced,none,reject,125.2,
C005,2025-05-15 11:05:00,ULSD,2.6028,2.5801,long,tight,competitor_matched,no_response,712.8,
C003,2025-05-16 10:57:00,ULSD,2.661,2.667,balanced,open,competitor_undercut,no_response,1964.3,
C010,2025-05-16 14:56:00,ULSHO,2.2646,2.2293,balanced,open,none,reject,110.8,
C005,2025-05-16 15:15:00,ULSD,2.7652,2.6556,balanced,balanced,competitor_matched,reject,111.0,
C004,2025-05-16 16:52:00,RBOB,1.9364,1.9731,long,balanced,competitor_matched,accept,108.5,7459.1
C002,2025-05-17 07:55:00,ULSD,2.6055,2.6343,long,open,competitor_undercut,accept,103.5,5964.8
C008,2025-05-17 09:00:00,ULSD,2.6906,2.6343,balanced,balanced,competitor_matched,accept,171.8,6610.2
C010,2025-05-17 12:07:00,ULSD,2.6738,2.6213,balanced,tight,sole_supplier,reject,63.6,
C020,2025-05-17 12:42:00,ULSD,2.642,2.6343,long,tight,competitor_matched,accept,112.4,97029.7
C016,2025-05-17 13:54:00,ULSD,2.6657,2.6213,short,open,none,reject,96.9,
C010,2025-05-17 13:57:00,ULSHO,2.1793,2.1955,short,tight,competitor_matched,accept,88.3,8379.4
C012,2025-05-17 14:05:00,ULSD,2.6436,2.6213,short,balanced,competitor_matched,accept,117.1,5779.5
C010,2025-05-17 14:50:00,ULSD,2.6055,2.6213,long,balanced,competitor_undercut,accept,97.0,9128.5
C008,2025-05-17 15:03:00,ULSD,2.7393,2.6343,short,open,competitor_matched,no_response,1391.2,
C012,2025-05-17 16:48:00,ULSHO,2.2312,2.1955,balanced,balanced,competitor_matched,reject,76.3,
C024,2025-05-18 11:11:00,ULSD,2.6997,2.6164,long,tight,competitor_undercut,reject,175.7,
C009,2025-05-18 12:31:00,ULSHO,2.2902,2.2379,balanced,tight,competitor_matched,reject,155.3,
C001,2025-05-18 12:50:00,ULSD,2.6652,2.6164,balanced,balanced,competitor_matched,reject,76.2,
C023,2025-05-18 13:35:00,ULSD,2.7239,2.6452,long,open,competitor_matched,reject,22.7,
C006,2025-05-19 08:17:00,RBOB,1.9652,1.9948,balanced,open,competitor_undercut,accept,124.9,7268.2
C013,2025-05-19 09:57:00,ULSHO,2.2186,2.2334,long,balanced,competitor_undercut,reject,162.7,
C020,2025-05-19 10:37:00,ULSD,2.5285,2.5515,balanced,balanced,competitor_matched,accept,186.6,181314.0
C005,2025-05-19 11:14:00,ULSD,2.609,2.5515,balanced,open,sole_supplier,accept,128.9,8133.0
C009,2025-05-19 12:36:00,ULSHO,2.305,2.2361,balanced,balanced,none,no_response,992.8,
C006,2025-05-19 12:41:00,RBOB,1.9683,1.9948,short,tight,competitor_matched,accept,64.6,8270.6
C009,2025-05-19 16:43:00,ULSHO,2.2186,2.2361,long,open,competitor_matched,accept,149.7,7243.9
C004,2025-05-20 07:18:00,ULSD,2.5632,2.4993,balanced,tight,sole_supplier,accept,94.7,8738.5
C003,2025-05-20 08:19:00,RBOB,2.1031,2.0667,balanced,balanced,competitor_undercut,reject,82.5,
C021,2025-05-20 09:03:00,RBOB,2.0298,2.045,balanced,open,competitor_undercut,accept,84.1,5721.1
C006,2025-05-20 10:53:00,RBOB,2.1524,2.0578,long,balanced,competitor_undercut,no_response,1242.3,
C013,2025-05-20 11:11:00,ULSD,2.5918,2.4861,long,tight,sole_supplier,no_response,1807.1,
C004,2025-05-20 12:44:00,RBOB,2.1547,2.0578,balanced,tight,competitor_matched,reject,156.6,
C018,2025-05-20 13:19:00,RBOB,2.1121,2.0667,short,balanced,sole_supplier,reject,79.5,
C010,2025-05-20 15:41:00,ULSHO,2.2487,2.26,short,tight,sole_supplier,accept,145.2,6487.5
C002,2025-05-20 16:02:00,ULSD,2.5333,2.4993,long,balanced,competitor_matched,accept,65.9,5232.9
C007,2025-05-21 07:53:00,RBOB,2.111,2.0922,balanced,tight,sole_supplier,accept,146.4,6670.9
C021,2025-05-21 08:55:00,RBOB,2.0725,2.0794,short,tight,competitor_matched,accept,139.0,4184.9
C009,2025-05-21 09:53:00,ULSHO,2.3321,2.2667,balanced,balanced,competitor_undercut,accept,104.4,6228.3
C008,2025-05-21 10:02:00,ULSD,2.6459,2.5387,balanced,balanced,competitor_undercut,reject,42.5,
C017,2025-05-21 11:56:00,RBOB,2.1188,2.0794,balanced,tight,competitor_undercut,no_response,1608.5,
C022,2025-05-21 12:19:00,RBOB,2.0673,2.0794,balanced,open,competitor_matched,accept,155.5,3076.8
C023,2025-05-21 16:29:00,RBOB,2.1743,2.1131,balanced,balanced,sole_supplier,reject,86.7,
C024,2025-05-22 08:33:00,ULSD,2.5724,2.4943,balanced,balanced,competitor_matched,reject,161.2,
C004,2025-05-22 08:45:00,ULSD,2.4863,2.5111,long,open,competitor_matched,accept,176.8,7197.2
C022,2025-05-22 09:07:00,RBOB,2.1592,2.0798,long,open,competitor_matched,reject,80.0,
C009,2025-05-22 10:36:00,ULSHO,2.3133,2.2569,balanced,tight,competitor_undercut,reject,39.2,
C023,2025-05-22 11:14:00,ULSD,2.5122,2.5299,balanced,open,competitor_matched,accept,42.0,5334.7
C013,2025-05-22 11:48:00,ULSD,2.4863,2.4943,balanced,balanced,sole_supplier,reject,80.4,
C001,2025-05-22 12:05:00,ULSD,2.4978,2.4943,balanced,balanced,competitor_undercut,accept,64.9,6345.2
C001,2025-05-22 12:40:00,RBOB,2.0725,2.0798,balanced,open,none,accept,173.0,6153.0
C001,2025-05-23 07:44:00,RBOB,2.0811,2.0937,short,open,competitor_matched,accept,172.4,7910.1
C006,2025-05-23 07:57:00,RBOB,2.0869,2.1078,balanced,balanced,sole_supplier,accept,152.7,7380.5
C024,2025-05-23 09:14:00,ULSD,2.5007,2.5143,short,tight,competitor_undercut,reject,3.0,
C024,2025-05-23 14:50:00,ULSD,2.6123,2.5143,balanced,open,sole_supplier,reject,3.0,
C006,2025-05-23 15:35:00,RBOB,2.1544,2.1078,balanced,tight,none,reject,10.1,
C010,2025-05-24 07:05:00,ULSD,2.5319,2.5033,balanced,balanced,sole_supplier,no_response,1535.5,
C019,2025-05-24 11:53:00,ULSD,2.6029,2.5033,balanced,tight,competitor_matched,reject,160.5,
C015,2025-05-24 12:01:00,ULSD,2.6283,2.5314,short,tight,none,reject,101.2,
C008,2025-05-24 13:44:00,ULSD,2.6159,2.521,balanced,tight,sole_supplier,no_response,1250.7,
C007,2025-05-24 14:01:00,ULSD,2.4917,2.521,short,tight,none,no_response,1512.4,
C004,2025-05-24 14:42:00,RBOB,2.1956,2.1298,balanced,open,competitor_matched,reject,127.8,
C022,2025-05-25 08:06:00,RBOB,2.0916,2.0988,short,open,competitor_undercut,accept,125.9,3680.9
C010,2025-05-25 08:39:00,ULSD,2.4465,2.457,balanced,balanced,none,reject,32.0,
C021,2025-05-25 09:57:00,RBOB,2.0843,2.0988,long,open,sole_supplier,accept,58.3,7643.4
C015,2025-05-25 12:50:00,ULSD,2.4897,2.4824,long,open,sole_supplier,reject,148.2,
C007,2025-05-25 13:25:00,ULSD,2.4465,2.474,short,balanced,none,accept,247.3,6262.8
C001,2025-05-25 14:15:00,ULSD,2.4465,2.457,long,tight,competitor_matched,accept,76.6,7889.4
C013,2025-05-25 15:15:00,ULSHO,2.241,2.2557,balanced,open,competitor_matched,accept,48.4,7047.3
C004,2025-05-26 08:39:00,RBOB,2.1762,2.1187,balanced,balanced,competitor_undercut,accept,192.0,7491.7
C022,2025-05-26 10:55:00,RBOB,2.0949,2.1078,balanced,open,competitor_undercut,accept,25.4,3614.7
C007,2025-05-26 11:22:00,ULSD,2.4359,2.4596,long,open,competitor_undercut,accept,122.3,6239.7
C007,2025-05-26 12:37:00,ULSD,2.431,2.4596,balanced,tight,sole_supplier,accept,278.7,8536.1
C009,2025-05-26 13:41:00,ULSHO,2.3581,2.2682,short,balanced,competitor_matched,reject,120.6,
C023,2025-05-26 13:42:00,RBOB,2.1222,2.1313,long,balanced,sole_supplier,reject,32.4,
C023,2025-05-26 15:24:00,RBOB,2.0979,2.1313,long,open,competitor_undercut,accept,97.7,6234.2
C022,2025-05-26 15:56:00,RBOB,2.0949,2.1078,short,open,none,accept,149.3,3004.1
C001,2025-05-26 16:15:00,ULSD,2.431,2.4341,short,open,sole_supplier,accept,81.3,5538.1
C008,2025-05-26 16:35:00,ULSD,2.5194,2.4596,balanced,balanced,sole_supplier,reject,3.0,
C008,2025-05-27 13:05:00,ULSD,2.5136,2.4249,balanced,open,competitor_matched,reject,112.1,
C019,2025-05-27 13:58:00,ULSD,2.5029,2.422,balanced,open,competitor_matched,reject,100.3,
C001,2025-05-27 16:39:00,RBOB,2.1856,2.1534,long,open,competitor_undercut,reject,3.0,
C001,2025-05-28 07:52:00,ULSD,2.4222,2.3872,long,open,none,reject,96.4,
C022,2025-05-28 09:22:00,RBOB,2.1997,2.2157,balanced,open,competitor_undercut,accept,140.8,3533.5
C003,2025-05-28 13:01:00,RBOB,2.3091,2.2364,balanced,tight,sole_supplier,reject,87.5,
C012,2025-05-28 13:44:00,ULSD,2.389,2.3872,long,open,sole_supplier,accept,81.0,7795.2
C003,2025-05-28 13:55:00,RBOB,2.269,2.2364,balanced,open,competitor_matched,accept,135.7,7957.4
C018,2025-05-28 15:48:00,RBOB,2.3345,2.2364,short,open,competitor_undercut,reject,151.3,
C012,2025-05-29 07:07:00,ULSD,2.4004,2.413,short,balanced,sole_supplier,accept,168.8,7503.8
C014,2025-05-29 09:34:00,RBOB,2.267,2.2144,short,tight,competitor_matched,reject,100.3,
C004,2025-05-29 11:11:00,ULSD,2.5165,2.4306,long,balanced,competitor_matched,reject,59.6,
C013,2025-05-29 11:26:00,ULSHO,2.3184,2.2482,short,open,sole_supplier,reject,25.1,
C017,2025-05-29 11:44:00,RBOB,2.2204,2.2027,balanced,balanced,sole_supplier,reject,151.0,
C001,2025-05-29 12:30:00,ULSD,2.4488,2.413,balanced,tight,competitor_matched,reject,188.1,
C023,2025-05-29 14:15:00,ULSD,2.4004,2.4378,short,tight,competitor_matched,accept,126.9,5319.2
C013,2025-05-29 14:38:00,ULSD,2.4296,2.413,long,balanced,sole_supplier,reject,45.1,
C023,2025-05-29 15:20:00,ULSD,2.4188,2.4378,short,balanced,competitor_undercut,reject,126.8,
C007,2025-05-29 16:31:00,ULSD,2.4434,2.4306,short,balanced,competitor_matched,reject,130.3,
C006,2025-05-30 09:08:00,RBOB,2.2687,2.1936,balanced,balanced,competitor_matched,reject,114.6,
C008,2025-05-30 10:07:00,ULSD,2.5495,2.4436,short,open,competitor_undercut,reject,115.8,
C002,2025-05-30 11:22:00,ULSD,2.5366,2.4436,long,tight,sole_supplier,reject,23.6,
C010,2025-05-30 16:34:00,ULSHO,2.2734,2.228,balanced,open,none,reject,89.1,
C018,2025-05-31 09:40:00,RBOB,2.2753,2.2318,short,open,competitor_matched,reject,3.0,
C008,2025-05-31 10:00:00,ULSD,2.4816,2.4138,balanced,balanced,sole_supplier,accept,47.8,5753.0
C021,2025-05-31 12:58:00,RBOB,2.2528,2.2076,balanced,balanced,none,reject,93.0,
C006,2025-05-31 13:32:00,RBOB,2.1972,2.2152,balanced,tight,none,accept,128.9,8370.8
C002,2025-05-31 13:39:00,ULSD,2.473,2.4138,short,open,none,reject,182.0,
C005,2025-05-31 14:11:00,ULSD,2.5102,2.4138,balanced,tight,sole_supplier,reject,3.3,
C012,2025-05-31 14:28:00,ULSHO,2.3084,2.2206,short,tight,sole_supplier,no_response,1185.8,
C017,2025-05-31 14:29:00,RBOB,2.2401,2.2076,balanced,balanced,competitor_undercut,reject,127.5,
C001,2025-05-31 14:30:00,ULSD,2.392,2.4065,short,balanced,sole_supplier,accept,118.4,6099.4
C013,2025-05-31 15:40:00,ULSD,2.4212,2.4065,balanced,tight,competitor_undercut,no_response,1982.5,
C022,2025-06-01 07:51:00,RBOB,2.2404,2.256,balanced,open,competitor_undercut,reject,128.1,
C024,2025-06-01 07:59:00,ULSD,2.4042,2.3605,short,balanced,competitor_undercut,reject,86.4,
C015,2025-06-01 08:27:00,ULSD,2.4417,2.3858,long,tight,competitor_matched,no_response,1997.8,
C016,2025-06-01 09:07:00,RBOB,2.2596,2.256,long,open,none,accept,139.7,22512.6
C001,2025-06-01 12:35:00,RBOB,2.2483,2.256,balanced,open,none,accept,137.5,5969.2
C002,2025-06-01 14:16:00,ULSD,2.4634,2.3804,short,balanced,competitor_matched,reject,74.0,
C023,2025-06-01 16:44:00,ULSD,2.4453,2.3858,short,tight,competitor_matched,accept,185.7,4640.6
C004,2025-06-02 07:24:00,RBOB,2.234,2.2581,balanced,open,sole_supplier,reject,48.4,
C021,2025-06-02 10:25:00,RBOB,2.234,2.2507,short,balanced,competitor_matched,accept,71.1,4680.2
C001,2025-06-02 11:34:00,RBOB,2.3576,2.2507,balanced,tight,sole_supplier,reject,162.3,
C016,2025-06-02 15:35:00,ULSD,2.4287,2.3858,short,balanced,none,reject,132.4,
C008,2025-06-02 16:20:00,ULSD,2.3952,2.401,long,open,none,accept,108.1,6093.1
C024,2025-06-03 08:31:00,ULSD,2.3745,2.385,balanced,open,competitor_undercut,accept,194.9,5921.8
C007,2025-06-03 08:32:00,ULSD,2.3727,2.4007,balanced,tight,competitor_undercut,no_response,1714.8,
C002,2025-06-03 10:26:00,ULSD,2.3962,2.4007,short,tight,competitor_matched,accept,64.9,6668.8
C022,2025-06-03 10:53:00,RBOB,2.2983,2.3085,balanced,balanced,competitor_undercut,no_response,2040.2,
C014,2025-06-03 12:10:00,RBOB,2.4309,2.324,balanced,tight,competitor_undercut,reject,84.5,
C013,2025-06-03 13:34:00,ULSD,2.3893,2.385,balanced,open,competitor_undercut,accept,116.2,6795.3
C009,2025-06-03 14:42:00,ULSHO,2.3379,2.339,balanced,balanced,competitor_undercut,accept,145.3,4872.1
C016,2025-06-03 15:42:00,RBOB,2.3873,2.3085,long,tight,sole_supplier,reject,105.8,
C013,2025-06-04 09:36:00,ULSHO,2.3511,2.3039,short,balanced,competitor_undercut,accept,134.2,5044.9
C019,2025-06-04 09:44:00,ULSD,2.4711,2.4231,short,open,none,accept,114.0,207701.6
C010,2025-06-04 10:23:00,ULSHO,2.4003,2.3039,long,tight,none,reject,115.2,
C012,2025-06-04 10:31:00,ULSHO,2.3336,2.3039,balanced,tight,none,accept,31.1,6352.7
C011,2025-06-04 11:28:00,ULSD,2.457,2.4321,long,open,competitor_undercut,accept,122.4,8906.4
C001,2025-06-04 12:59:00,ULSD,2.4066,2.4231,long,open,competitor_matched,accept,86.7,6941.1
C001,2025-06-04 13:24:00,ULSD,2.5201,2.4231,short,tight,none,reject,154.2,
C023,2025-06-04 13:56:00,ULSD,2.456,2.4444,balanced,open,competitor_matched,reject,95.2,
C023,2025-06-04 15:50:00,RBOB,2.3702,2.3021,long,balanced,competitor_matched,reject,74.8,
