Customer,Lift Date,Net Gallons,Terminal,Product,Gross Gallons,Temp (F),API Gravity,Sell Price,Unit Cost
Hearth Fuel Oil,2025-04-28 08:34:00,350.4,Providence,ULSD,347.77,49.2,36.13,2.6042,2.5936
ROADKING MART ,2025-04-28 11:04:00,115.08,Linden,ULSD,114.61,54.2,36.01,2.5966,2.5936
Hudson Distributors,2025-04-28 13:11:00,203.36,Albany,ULSD,202.43,53.4,36.94,2.6164,2.5936
STERLING DISTRIBUTORS ,2025-04-29 07:28:00,134.5,Providence,ULSD,134.46,59.6,35.18,2.6549,2.6479
Sterling Oil Co,2025-04-29 07:29:00,163.25,Linden,RBOB,162.22,53.3,59.26,2.2918,2.2792
Colonial Distributors,2025-04-29 11:59:00,143.73,Providence,ULSD,143.49,57.6,36.06,2.6509,2.6479
Granite Oil Co,2025-04-29 14:02:00,235.63,Providence,RBOB,235.33,58.7,60.97,2.3035,2.2792
Cardinal Oil & Propane,2025-04-29 15:17:00,289.0,Linden,ULSHO,288.59,58.0,35.74,2.5638,2.5606
QuickStop Stations,2025-04-29 15:27:00,166.65,Linden,RBOB,165.44,52.3,59.87,2.2822,2.2792
FuelExpress Retail,2025-04-29 17:20:00,67.46,Linden,RBOB,66.89,51.2,60.5,2.2822,2.2792
Atlantic Distributors,2025-04-29 17:46:00,164.26,Providence,ULSD,163.01,49.1,36.84,2.6517,2.6479
Snowbelt Oil & Propane,2025-04-30 08:16:00,199.33,Linden,ULSHO,198.95,57.3,35.51,2.5411,2.5346
Anchor Marine Services,2025-04-30 11:29:00,3316.8,Providence,ULSD,3321.25,61.9,36.85,2.6144,2.5933
ROADKING MART ,2025-04-30 13:25:00,134.45,Linden,ULSD,133.63,51.3,35.43,2.5975,2.5933
Cardinal Oil & Propane,2025-05-01 09:45:00,233.02,Linden,ULSHO,231.65,51.6,34.1,2.4939,2.4909
Keystone Distributors,2025-05-01 10:06:00,151.47,Providence,ULSD,151.07,56.3,36.41,2.6575,2.6391
Vector Partners,07/22/2023,230.12,Linden,RBOB,227.51,47.9,60.34,2.1958,2.1804
Liberty Fuels,2025-05-01 14:05:00,203.98,Providence,ULSD,202.87,52.2,36.54,2.6552,2.6391
Tactical Commodities,2025-05-01 14:15:00,425.46,Providence,RBOB,422.49,52.6,59.79,2.2057,2.1804
CARDINAL HEATING OIL ,2025-05-01 14:59:00,347.95,Linden,ULSD,345.36,49.3,35.42,2.6482,2.6391
Hearth Fuel Oil,2025-05-01 15:24:00,304.65,Providence,ULSD,302.9,51.8,36.2,2.6597,2.6391
PitStop Markets,2025-05-01 15:31:00,134.45,Albany,RBOB,134.3,58.8,60.09,2.2009,2.1804
Sterling Distributors Inc,2025-05-01 15:56:00,160.4,Providence,ULSD,159.2,49.2,35.88,2.6577,2.6391
QuickStop Stations,2025-05-01 16:55:00,149.45,Linden,RBOB,148.62,54.1,60.03,2.1834,2.1804
FuelExpress Retail,2025-05-01 17:25:00,72.02,Linden,RBOB,71.6,53.9,60.73,2.1834,2.1804
  RoadKing Mart Dist,2025-05-02 06:47:00,132.47,Linden,ULSD,131.82,53.0,36.19,2.6131,2.6101
Colonial Distributors,2025-05-02 08:51:00,197.34,Providence,ULSD,196.82,56.2,36.5,2.6154,2.6101
Hudson Distributors,2025-05-02 10:26:00,182.86,Albany,ULSD,182.23,55.0,36.12,2.6347,2.6101
Apex Commodities,2025-05-02 11:45:00,308.19,Linden,RBOB,305.1,49.3,59.26,2.2143,2.1976
Snowbelt Fuel Oil,2025-05-02 12:59:00,173.29,Providence,ULSHO,172.68,55.0,34.69,2.508,2.4863
Granite Oil Co,2025-05-02 16:36:00,193.45,Providence,RBOB,192.05,52.3,60.55,2.2123,2.1976
Atlantic Distributors,2025-05-03 11:13:00,139.43,Providence,RBOB,139.16,58.0,58.59,2.2177,2.2003
Sterling Oil Co,2025-05-03 11:39:00,181.25,Linden,ULSD,179.49,46.0,35.86,2.5054,2.5
FuelExpress Retail,2025-05-03 11:39:00,91.51,Linden,RBOB,91.26,57.1,60.07,2.2033,2.2003
PitStop Markets,2025-05-03 16:32:00,115.61,Albany,ULSD,115.45,58.0,36.77,2.5185,2.5
  Snowbelt Oil & Propane Dist,2025-05-03 17:22:00,238.4,Linden,ULSHO,237.77,56.2,34.89,2.499,2.4933
Keystone Distributors,2025-05-04 06:50:00,119.39,Providence,ULSD,119.3,59.0,36.15,2.6028,2.5863
Colonial Distributors,2025-05-04 07:39:00,206.05,Providence,ULSD,205.41,55.5,36.33,2.599,2.5863
Snowbelt Fuel Oil,2025-05-04 09:20:00,246.93,Providence,ULSHO,247.07,60.8,34.22,2.5078,2.4891
Cardinal Oil & Propane,2025-05-04 10:20:00,197.05,Linden,ULSHO,197.06,60.0,35.28,2.4988,2.4891
STERLING DISTRIBUTORS ,2025-05-04 17:53:00,138.31,Providence,ULSD,137.93,56.1,36.02,2.603,2.5863
RoadKing Mart,2025-05-05 09:55:00,114.56,Linden,ULSD,113.46,46.2,35.67,2.644,2.641
Hearth Fuel Oil,2025-05-05 10:27:00,383.26,Providence,ULSD,379.83,47.1,36.04,2.6644,2.641
Spot Partners,2025-05-05 12:31:00,172.51,Albany,RBOB,171.52,53.9,59.64,2.1648,2.1408
CardinalHeatingOil,2025-05-05 12:57:00,203.82,Linden,ULSD,203.21,55.7,36.69,2.644,2.641
Granite Oil Co,2025-05-05 15:44:00,219.46,Providence,RBOB,217.65,51.2,59.51,2.1579,2.1408
Hudson Distributors,2025-05-05 15:54:00,199.81,Albany,RBOB,199.1,56.3,59.4,2.1572,2.1408
Anchor Marine Services,2025-05-05 15:57:00,1670.54,Providence,ULSD,1668.45,58.2,36.52,2.6636,2.641
QuickStop Stations,2025-05-05 16:13:00,118.75,Linden,RBOB,118.75,60.0,59.72,2.1438,2.1408
Vector Trading,2025-05-05 17:33:00,129.0,Albany,RBOB,128.2,53.5,60.23,2.1693,2.1408
FuelExpress Retail,2025-05-06 08:10:00,74.85,Linden,RBOB,74.25,51.5,59.45,2.1283,2.1253
Snowbelt Oil & Propane,2025-05-06 12:26:00,242.37,Linden,ULSHO,240.8,50.7,34.83,2.3269,2.3215
Atlantic Distributors,2025-05-06 16:09:00,166.96,Providence,ULSD,166.16,53.2,37.17,2.6024,2.5932
Sterling Oil Co,2025-05-06 16:35:00,182.16,Linden,ULSD,181.71,56.5,34.66,2.5979,2.5932
PitStop Markets,2025-05-06 17:40:00,115.1,Albany,ULSD,114.26,49.5,35.73,2.6162,2.5932
Liberty Fuels,2025-05-06 17:42:00,141.76,Providence,RBOB,140.76,52.5,59.86,2.138,2.1253
Cardinal Oil & Propane,2025-05-07 07:15:00,163.22,Linden,ULSD,162.68,55.2,35.42,2.5887,2.58
Sterling Distributors Inc,2025-05-07 17:32:00,118.83,Providence,ULSD,118.08,50.9,34.89,2.5956,2.58
Colonial Distributors,2025-05-08 09:04:00,221.54,Providence,ULSD,221.51,59.8,36.2,2.5871,2.5714
Cardinal Heating Oil Inc,2025-05-08 10:35:00,212.6,Linden,ULSD,212.93,62.3,35.64,2.5794,2.5714
Keystone Distributors,2025-05-08 10:39:00,167.94,Providence,ULSD,167.81,58.9,37.2,2.5908,2.5714
ROADKING MART ,2025-05-08 12:02:00,137.8,Linden,ULSD,137.55,57.3,36.68,2.5756,2.5714
Hudson Distributors,2025-05-08 12:22:00,211.93,Albany,ULSD,212.0,60.5,36.08,2.5895,2.5714
FuelExpress Retail,2025-05-08 13:17:00,71.82,Linden,RBOB,72.04,63.2,60.14,2.0768,2.0738
QuickStop Stations,2025-05-08 14:39:00,99.2,Linden,RBOB,99.07,58.6,60.24,2.0768,2.0738
Hearth Fuel Oil,2025-05-08 15:32:00,224.38,Providence,ULSD,224.62,61.5,36.61,2.593,2.5714
Apex Commodities,2025-05-09 07:26:00,219.38,Linden,RBOB,217.4,50.4,59.81,2.0172,2.0017
Sterling Oil Co,2025-05-09 11:04:00,164.74,Linden,RBOB,163.42,51.5,59.21,2.012,2.0017
Snowbelt Oil & Propane Inc,2025-05-09 12:35:00,173.24,Linden,ULSHO,172.11,50.7,34.85,2.2673,2.2625
Snowbelt Fuel Oil,2025-05-09 12:36:00,217.16,Providence,ULSHO,217.28,60.8,33.91,2.2792,2.2625
Vector Partners,2025-05-09 14:26:00,334.45,Linden,RBOB,332.47,53.7,59.29,2.0177,2.0017
Tactical Commodities,2025-05-09 14:44:00,374.17,Providence,RBOB,374.24,60.2,59.9,2.0282,2.0017
Granite Oil Co,2025-05-09 17:30:00,197.11,Providence,RBOB,195.78,52.8,60.14,2.0234,2.0017
SterlingDistributors,2025-05-10 06:23:00,149.89,Providence,ULSD,149.96,60.7,36.08,2.5222,2.5104
Cardinal Oil & Propane,2025-05-10 10:36:00,249.5,Linden,ULSHO,248.41,53.7,34.91,2.3102,2.306
Liberty Fuels,2025-05-10 11:11:00,156.58,Providence,RBOB,156.41,58.8,59.34,2.0063,1.9892
Atlantic Distributors,2025-05-10 12:00:00,124.61,Providence,RBOB,123.45,50.0,60.72,2.0057,1.9892
FuelExpress Retail,2025-05-11 06:19:00,81.23,Linden,RBOB,80.25,47.2,59.68,2.0233,2.0203
RoadKing Mart Inc,2025-05-11 07:02:00,134.38,Linden,ULSD,133.72,52.9,36.02,2.4756,2.4726
Mariner Shipping,2025-05-11 10:16:00,4035.69,Linden,ULSD,3984.99,41.8,35.79,2.4756,2.4726
  Cardinal Heating Oil Dist,2025-05-11 11:00:00,286.85,Linden,ULSD,285.94,55.4,35.76,2.4756,2.4726
Hudson Distributors,2025-05-11 14:40:00,164.28,Albany,RBOB,162.84,50.7,59.71,2.0482,2.0203
Spot Partners,2025-05-11 15:07:00,210.57,Albany,RBOB,209.34,53.8,59.24,2.0558,2.0203
QuickStop Stations,2025-05-11 16:11:00,115.34,Linden,RBOB,114.31,50.5,59.73,2.0236,2.0203
Snowbelt Fuel Oil,2025-05-12 07:28:00,226.7,Providence,ULSHO,224.54,46.3,33.89,2.3149,2.2962
Colonial Distributors,2025-05-12 08:01:00,191.34,Providence,ULSD,190.03,50.1,35.91,2.5031,2.4952
Vector Trading,2025-05-12 13:26:00,219.5,Albany,RBOB,219.6,60.5,59.77,2.0612,2.0263
PitStop Markets,2025-05-12 13:35:00,118.33,Albany,RBOB,117.99,57.0,59.7,2.0482,2.0263
Hearth Fuel Oil,2025-05-12 14:08:00,242.45,Providence,ULSD,242.3,59.1,36.43,2.509,2.4952
SnowbeltOil&Propane,2025-05-12 16:04:00,279.65,Linden,ULSHO,276.92,45.9,35.23,2.3037,2.2962
Keystone Distributors,2025-05-12 16:07:00,138.05,Providence,ULSD,137.33,52.4,36.04,2.5068,2.4952
Liberty Fuels,2025-05-13 08:10:00,148.1,Providence,RBOB,145.89,44.0,60.37,2.0186,2.007
Granite Oil Co,2025-05-13 14:13:00,185.19,Providence,RBOB,183.85,52.4,60.43,2.025,2.007
RoadKing Mart Inc,2025-05-13 16:58:00,186.04,Linden,ULSD,184.96,51.7,36.54,2.506,2.5003
FuelExpress Retail,2025-05-14 06:20:00,88.18,Linden,RBOB,88.07,58.6,60.42,2.0064,2.0034
Cardinal Oil & Propane,2025-05-14 07:21:00,258.54,Linden,ULSD,259.1,63.1,35.69,2.5494,2.5464
Sterling Distributors Inc,2025-05-14 07:27:00,146.0,Providence,ULSD,145.97,59.7,35.83,2.5648,2.5464
Hudson Distributors,2025-05-14 09:55:00,213.0,Albany,ULSD,212.46,56.4,36.17,2.5646,2.5464
Atlantic Distributors,2025-05-14 10:41:00,146.63,Providence,ULSD,146.41,57.9,36.57,2.5617,2.5464
  Snowbelt Oil & Propane Dist,2025-05-14 12:16:00,224.61,Linden,ULSHO,224.43,58.9,34.17,2.2719,2.2639
  Cardinal Heating Oil Dist,2025-05-14 13:22:00,300.0,Linden,ULSD,300.58,62.8,36.02,2.5494,2.5464
QuickStop Stations,2025-05-14 15:27:00,131.25,Linden,RBOB,130.85,56.8,60.83,2.0064,2.0034
Sterling Oil Co,2025-05-14 17:40:00,193.11,Linden,RBOB,193.02,59.5,60.21,2.0087,2.0034
  Snowbelt Oil & Propane Dist,2025-05-15 06:42:00,273.28,Linden,ULSD,271.72,51.8,35.62,2.5552,2.5522
PitStop Markets,2025-05-15 07:37:00,112.84,Albany,RBOB,112.65,58.2,59.39,2.0605,2.0343
Hearth Fuel Oil,2025-05-15 09:54:00,268.49,Providence,ULSD,267.0,52.0,36.63,2.5697,2.5522
Colonial Distributors,2025-05-15 13:12:00,254.86,Providence,ULSD,253.13,50.2,36.54,2.5638,2.5522
Snowbelt Fuel Oil,2025-05-15 14:04:00,246.58,Providence,ULSHO,244.9,50.2,34.72,2.2529,2.2355
Cardinal Heating Oil Inc,2025-05-15 16:31:00,183.22,Linden,ULSHO,183.22,60.0,35.27,2.2461,2.2355
Apex Commodities,2025-05-16 06:34:00,602.98,Linden,RBOB,596.04,47.7,60.42,1.9475,1.9344
RoadKing Mart Inc,2025-05-16 06:54:00,150.12,Linden,ULSD,150.41,62.8,36.16,2.6354,2.6324
Sterling Distributors Inc,13/02/2024,138.04,Providence,ULSD,137.85,58.0,36.37,2.6432,2.6324
Keystone Distributors,2025-05-16 10:08:00,143.18,Providence,ULSD,142.41,52.3,36.31,2.643,2.6324
Tactical Commodities,2025-05-16 10:32:00,460.73,Providence,RBOB,462.49,64.0,60.46,1.9695,1.9344
Liberty Fuels,2025-05-17 10:29:00,126.14,Providence,RBOB,126.65,64.3,61.04,1.95,1.9387
Granite Oil Co,2025-05-17 10:36:00,185.67,Providence,RBOB,186.43,64.3,59.93,1.9564,1.9387
FuelExpress Retail,2025-05-17 10:40:00,65.85,Linden,RBOB,65.92,61.1,59.35,1.9417,1.9387
Atlantic Distributors,2025-05-17 16:40:00,150.23,Providence,ULSD,150.17,59.5,36.55,2.6188,2.6035
Cardinal Oil & Propane,2025-05-18 07:48:00,227.15,Linden,ULSHO,227.83,64.3,35.78,2.2195,2.2164
Hearth Fuel Oil,2025-05-18 08:00:00,153.73,Providence,ULSD,152.86,51.9,35.49,2.625,2.6056
Sterling Oil Co,2025-05-18 08:48:00,153.37,Linden,RBOB,152.72,55.5,60.15,1.9555,1.9426
Hudson Distributors,2025-05-18 10:42:00,169.52,Albany,RBOB,170.13,63.7,59.49,1.9691,1.9426
QuickStop Stations,2025-05-18 11:08:00,153.32,Linden,RBOB,152.75,56.1,60.93,1.9456,1.9426
Snowbelt Fuel Oil,2025-05-18 11:10:00,153.37,Providence,ULSHO,153.17,58.2,35.43,2.2289,2.2164
Snowbelt Oil & Propane,2025-05-18 13:19:00,255.66,Linden,ULSD,255.19,57.4,36.73,2.6088,2.6056
  Cardinal Heating Oil Dist,2025-05-18 13:26:00,226.3,Linden,ULSD,226.24,59.7,36.06,2.6086,2.6056
Vector Partners,2025-05-18 16:41:00,296.24,Linden,RBOB,296.3,60.2,60.0,1.9612,1.9426
PitStop Markets,2025-05-19 07:40:00,148.9,Albany,ULSD,148.25,53.7,36.33,2.5485,2.5265
Colonial Distributors,2025-05-19 10:54:00,206.78,Providence,ULSD,205.38,50.2,35.77,2.5352,2.5265
Spot Partners,2025-05-19 11:29:00,130.7,Albany,RBOB,130.61,59.3,60.03,2.0025,1.9632
  RoadKing Mart Dist,2025-05-19 15:35:00,173.15,Linden,ULSD,171.44,45.7,36.14,2.5295,2.5265
Keystone Distributors,2025-05-20 06:18:00,141.18,Providence,ULSD,141.69,65.1,35.71,2.4868,2.474
Sterling Oil Co,2025-05-20 11:24:00,176.74,Linden,RBOB,176.0,55.6,60.14,2.0362,2.0278
STERLING DISTRIBUTORS ,2025-05-20 11:39:00,135.88,Providence,ULSD,135.96,60.9,35.74,2.487,2.474
FuelExpress Retail,2025-05-20 15:58:00,97.86,Linden,RBOB,98.14,62.9,59.66,2.0308,2.0278
Snowbelt Oil & Propane,2025-05-21 08:52:00,238.72,Linden,ULSD,239.17,62.7,35.71,2.5207,2.5177
Vector Trading,2025-05-21 11:21:00,270.41,Albany,RBOB,269.37,55.9,59.36,2.111,2.0653
CARDINAL HEATING OIL ,2025-05-21 11:39:00,287.35,Linden,ULSD,289.28,69.6,36.62,2.5207,2.5177
Atlantic Distributors,2025-05-21 12:18:00,152.24,Providence,ULSD,152.7,64.3,35.87,2.5233,2.5177
Liberty Fuels,2025-05-21 13:14:00,149.38,Providence,RBOB,149.4,60.2,59.37,2.0774,2.0653
QuickStop Stations,2025-05-21 16:26:00,142.24,Linden,RBOB,142.61,62.7,59.66,2.0683,2.0653
Granite Oil Co,2025-05-21 17:20:00,197.03,Providence,RBOB,198.08,65.6,60.19,2.0838,2.0653
Hudson Distributors,2025-05-21 17:24:00,200.61,Albany,ULSD,200.01,55.7,36.61,2.5465,2.5177
Hearth Fuel Oil,2025-05-22 07:49:00,152.18,Providence,ULSD,152.32,61.4,35.15,2.5007,2.4843
FuelExpress Retail,2025-05-22 09:03:00,81.57,Linden,RBOB,81.84,63.4,60.75,2.0735,2.0705
RoadKing Mart,2025-05-22 10:36:00,134.92,Linden,ULSD,134.53,55.8,35.91,2.4873,2.4843
Snowbelt Fuel Oil,2025-05-23 08:37:00,164.08,Providence,ULSHO,163.7,56.7,35.33,2.2235,2.2076
Cardinal Oil & Propane,2025-05-23 09:54:00,192.98,Linden,ULSHO,193.01,60.2,35.49,2.2106,2.2076
  Cardinal Heating Oil Dist,2025-05-23 10:02:00,266.87,Linden,ULSD,265.72,53.8,36.47,2.5047,2.4987
Apex Commodities,2025-05-23 14:13:00,219.26,Linden,ULSD,218.6,55.7,35.79,2.5107,2.4987
  Sterling Distributors Dist,2025-05-23 15:04:00,153.95,Providence,ULSD,154.14,61.7,35.83,2.5171,2.4987
Colonial Distributors,not a date,216.48,Providence,ULSD,215.71,54.9,35.67,2.5131,2.4987
PitStop Markets,07/22/2023,125.13,Albany,RBOB,123.98,50.2,59.95,2.0978,2.0791
Hudson Distributors,2025-05-24 12:04:00,176.29,Albany,RBOB,177.09,64.7,59.75,2.124,2.0994
SNOWBELT OIL & PROPANE ,2025-05-24 13:31:00,212.32,Linden,ULSD,212.54,61.4,36.46,2.4958,2.4897
Mariner Shipping,2025-05-24 16:36:00,2541.5,Linden,ULSD,2539.29,58.8,37.34,2.4961,2.4897
QuickStop Stations,2025-05-25 07:55:00,132.16,Linden,RBOB,132.68,64.2,60.65,2.0829,2.0799
Colonial Distributors,2025-05-25 08:47:00,210.66,Providence,ULSD,210.5,58.9,35.57,2.4578,2.4445
ROADKING MART ,2025-05-25 10:39:00,144.56,Linden,ULSD,144.35,57.9,35.6,2.4475,2.4445
Sterling Oil Co,2025-05-25 11:44:00,168.29,Linden,RBOB,167.46,54.8,60.22,2.09,2.0799
Granite Oil Co,2025-05-25 12:00:00,169.31,Providence,RBOB,168.73,56.4,59.98,2.1017,2.0799
Liberty Fuels,2025-05-25 12:10:00,154.93,Providence,RBOB,154.72,58.6,60.04,2.0952,2.0799
Keystone Distributors,2025-05-25 12:18:00,154.33,Providence,ULSD,154.41,60.7,35.48,2.4615,2.4445
Cardinal Oil & Propane,2025-05-25 13:53:00,180.08,Linden,ULSD,180.05,59.7,35.59,2.4475,2.4445
Spot Partners,2025-05-25 17:15:00,197.82,Albany,RBOB,197.67,59.2,59.91,2.1085,2.0799
FuelExpress Retail,2025-05-25 17:39:00,65.16,Linden,RBOB,64.93,56.2,60.3,2.0829,2.0799
Tactical Commodities,2025-05-26 06:33:00,363.54,Providence,RBOB,361.21,53.2,60.16,2.1152,2.0929
SterlingDistributors,2025-05-26 08:10:00,146.53,Providence,ULSD,146.92,63.8,36.04,2.4473,2.429
Hearth Fuel Oil,2025-05-26 10:48:00,271.93,Providence,ULSD,272.48,62.9,36.33,2.4492,2.429
SnowbeltOil&Propane,2025-05-26 14:18:00,155.18,Linden,ULSD,155.64,64.3,35.92,2.432,2.429
Atlantic Distributors,2025-05-26 16:51:00,148.64,Providence,RBOB,147.75,53.7,59.36,2.1033,2.0929
PitStop Markets,2025-05-26 17:12:00,141.29,Albany,RBOB,141.25,59.8,60.2,2.1162,2.0929
Hudson Distributors,2025-05-27 08:58:00,184.35,Albany,RBOB,184.82,62.6,59.89,2.1544,2.1318
Vector Partners,2025-05-27 10:59:00,464.7,Linden,RBOB,465.42,61.6,60.17,2.1504,2.1318
CARDINAL HEATING OIL ,2025-05-27 12:35:00,234.16,Linden,ULSD,235.88,70.4,36.21,2.4124,2.4002
Granite Oil Co,2025-05-27 17:22:00,158.44,Providence,RBOB,159.15,64.7,60.2,2.1522,2.1318
Snowbelt Fuel Oil,2025-05-27 17:54:00,99.99,Providence,ULSHO,100.31,64.6,35.38,2.229,2.2173
QuickStop Stations,2025-05-28 07:48:00,116.65,Linden,RBOB,116.8,61.4,60.56,2.2007,2.1977
Sterling Oil Co,not a date,148.61,Linden,RBOB,148.9,62.0,59.21,2.2069,2.1977
Vector Trading,2025-05-28 14:15:00,221.52,Albany,RBOB,220.93,57.2,60.17,2.2343,2.1977
FuelExpress Retail,2025-05-28 14:39:00,57.76,Linden,RBOB,57.75,59.7,59.62,2.2007,2.1977
Colonial Distributors,2025-05-28 17:42:00,138.43,Providence,ULSD,138.88,64.7,35.88,2.3846,2.3758
Sterling Distributors Inc,2025-05-28 17:48:00,136.5,Providence,ULSD,136.28,57.7,36.65,2.3886,2.3758
Liberty Fuels,2025-05-29 07:58:00,180.96,Providence,RBOB,181.67,64.1,60.51,2.1997,2.1844
Keystone Distributors,2025-05-29 15:07:00,152.12,Providence,ULSD,152.15,60.3,36.09,2.418,2.3984
Anchor Marine Services,2025-05-29 15:16:00,2830.32,Providence,ULSD,2832.85,61.3,35.18,2.4194,2.3984
PitStop Markets,2025-05-29 16:54:00,123.22,Albany,RBOB,123.55,62.8,61.08,2.212,2.1844
Hearth Fuel Oil,2025-05-29 16:57:00,195.52,Providence,ULSD,195.61,60.6,35.91,2.4202,2.3984
RoadKingMart,2025-05-30 09:13:00,139.16,Linden,ULSD,139.31,61.5,35.66,2.4176,2.4146
Hudson Distributors,2025-05-30 11:15:00,176.89,Albany,ULSD,177.55,65.3,35.93,2.4407,2.4146
Apex Commodities,2025-05-30 13:55:00,428.01,Linden,ULSD,430.52,68.3,37.18,2.4218,2.4146
Cardinal Oil & Propane,2025-05-30 14:17:00,123.86,Linden,ULSHO,124.09,62.6,34.92,2.2246,2.2216
Atlantic Distributors,2025-05-30 16:08:00,160.56,Providence,ULSD,161.03,64.2,36.16,2.4282,2.4146
Mariner Shipping,2025-05-30 16:21:00,4957.35,Linden,ULSD,4979.64,66.4,37.11,2.4181,2.4146
SnowbeltOil&Propane,2025-05-30 17:58:00,134.64,Linden,ULSD,134.69,60.5,35.87,2.4178,2.4146
Granite Oil Co,2025-05-31 06:23:00,145.16,Providence,RBOB,146.31,68.2,59.29,2.2069,2.1918
QuickStop Stations,2025-05-31 08:15:00,107.31,Linden,RBOB,108.12,67.9,60.75,2.1948,2.1918
  Sterling Distributors Dist,2025-05-31 13:41:00,156.75,Providence,ULSD,157.66,68.2,36.31,2.4015,2.39
Cardinal Heating Oil,2025-05-31 17:44:00,218.2,Linden,ULSHO,217.89,58.0,34.96,2.2155,2.2125
FuelExpress Retail,2025-06-01 07:14:00,56.6,Linden,RBOB,56.52,58.4,61.02,2.2414,2.2384
Sterling Oil Co,2025-06-01 08:46:00,152.66,Linden,ULSD,152.75,60.9,36.61,2.3542,2.3512
Snowbelt Fuel Oil,2025-06-01 14:28:00,154.17,Providence,ULSHO,154.47,62.8,34.85,2.2804,2.2571
Colonial Distributors,2025-06-01 15:33:00,173.25,Providence,ULSD,173.84,64.9,35.98,2.3641,2.3512
FuelExpress Retail,2025-06-02 06:37:00,51.18,Linden,RBOB,51.72,71.1,60.49,2.235,2.232
ROADKING MART ,2025-06-02 11:19:00,142.47,Linden,ULSD,142.99,65.2,36.7,2.3734,2.3704
Hudson Distributors,2025-06-02 14:11:00,205.42,Albany,RBOB,206.99,68.0,60.42,2.2572,2.232
Snowbelt Oil & Propane,2025-06-02 15:35:00,105.62,Linden,ULSD,105.87,63.3,35.76,2.3783,2.3704
PitStop Markets,2025-06-02 16:28:00,141.16,Albany,ULSD,141.86,67.0,36.02,2.4012,2.3704
Liberty Fuels,2025-06-02 17:16:00,156.67,Providence,RBOB,157.27,64.0,59.49,2.2433,2.232
Hearth Fuel Oil,2025-06-03 09:34:00,186.4,Providence,ULSD,186.58,61.4,36.14,2.3904,2.3707
Mariner Shipping,2025-06-04 06:40:00,2855.85,Linden,ULSD,2858.51,61.3,36.27,2.4159,2.4046
